지점,지점명,일시,평균기온(°C),최고기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),최심적설(cm),최심신적설(cm)
90,속초,2020-01,3.4,11.2,148.1,58.6,,
90,속초,2020-02,4.1,16.1,55.8,24.1,,
90,속초,2020-03,7.9,19.3,38,20.7,,
90,속초,2020-04,11.3,24.5,38.4,18.1,,
90,속초,2020-05,17.1,32.4,245.1,140,,
90,속초,2020-06,22.2,33.2,271.9,214.6,,
90,속초,2020-07,21.6,33.3,374.7,115.5,,
90,속초,2020-08,25.7,35.1,411.3,127.9,,
90,속초,2020-09,20.1,28.7,482.8,192.5,,
90,속초,2020-10,14.3,23.7,0,0,,
90,속초,2020-11,10,23.1,19.2,15.3,,
90,속초,2020-12,1.8,11.2,.5,.5,,
90,속초,2021-01,-1.2,9.7,0,0,,
90,속초,2021-02,3.1,17.8,5,4.8,,
90,속초,2021-03,8,18.9,104.2,73.4,,
90,속초,2021-04,12.3,23.8,97.2,40.5,,
90,속초,2021-05,16.7,29.8,154.9,67,,
90,속초,2021-06,20.3,30,43.8,10.2,,
90,속초,2021-07,25.5,33.2,104.1,50.3,,
90,속초,2021-08,24.4,33.8,247.1,83.5,,
90,속초,2021-09,20.9,28.8,141.6,43.1,,
90,속초,2021-10,15.5,27.5,216.9,56.9,,
90,속초,2021-11,9.9,20.1,16.2,10.9,,
90,속초,2021-12,2.8,13.9,68.7,42.1,,
93,북춘천,2020-01,-.7,10.9,55.9,37.5,.4,.4
93,북춘천,2020-02,.7,15.5,35.3,19.4,1.8,1.8
93,북춘천,2020-03,6.1,21,13.7,7,,
93,북춘천,2020-04,9.7,24.6,17,10.2,,
93,북춘천,2020-05,17.4,29.8,122.2,40.5,,
93,북춘천,2020-06,23.5,35.8,79.1,45.1,,
93,북춘천,2020-07,23.3,32.7,183.6,60.9,,
93,북춘천,2020-08,25.6,35.4,821.2,188.5,,
93,북춘천,2020-09,19,30,153.1,43.1,,
93,북춘천,2020-10,10.9,23.7,.3,.2,,
93,북춘천,2020-11,5.3,19.4,75.2,62.8,,
93,북춘천,2020-12,-3.6,9.9,4.8,4.5,6.2,6.2
93,북춘천,2021-01,-5.7,11.5,14.3,3.3,4.9,3.9
93,북춘천,2021-02,.4,19.7,5.6,2.6,8.9,4.5
93,북춘천,2021-03,7.1,22.8,100.1,66.2,9.8,9.5
93,북춘천,2021-04,12.4,29.2,110.2,56.6,,
93,북춘천,2021-05,15.6,30.6,159.3,67.4,,
93,북춘천,2021-06,21.6,32.3,128.1,26.2,,
93,북춘천,2021-07,26.7,36.6,202,58.7,,
93,북춘천,2021-08,24.3,34.4,122.5,31.2,,
93,북춘천,2021-09,20.7,29.7,103.7,37.5,,
93,북춘천,2021-10,13.1,28.2,64.4,29.7,,
93,북춘천,2021-11,5.3,21,49.8,27.1,,
93,북춘천,2021-12,-2.2,11.4,5.2,1.9,6.4,3.5
95,철원,2020-01,-1.2,11,79.7,52.3,,
95,철원,2020-02,0,15.8,46.8,14.1,,
95,철원,2020-03,5.5,19.9,16.9,9.3,,
95,철원,2020-04,9.1,22.8,20.9,12,,
95,철원,2020-05,16.9,28.8,161.7,57.3,,
95,철원,2020-06,22.5,33.6,92.2,46.3,,
95,철원,2020-07,22.8,31.7,184.5,48.5,,
95,철원,2020-08,25.1,34.9,903,155.5,,
95,철원,2020-09,18.8,30.1,166,37.4,,
95,철원,2020-10,10.9,23.1,4.1,1.6,,
95,철원,2020-11,5,19.8,72.3,51,,
95,철원,2020-12,-3.9,9.9,1.2,1.2,,
95,철원,2021-01,-5.9,13.1,7.6,3.1,,
95,철원,2021-02,.1,17.3,4.8,2.5,,
95,철원,2021-03,6.2,21.7,103.7,63.2,,
95,철원,2021-04,12,28,99.3,43.9,,
95,철원,2021-05,15.5,29.7,199.1,79.4,,
95,철원,2021-06,21.2,31.1,67.6,18,,
95,철원,2021-07,26.1,35.7,117.2,52.5,,
95,철원,2021-08,23.6,32.1,219.6,53.4,,
95,철원,2021-09,20.3,29.6,105.9,44.5,,
95,철원,2021-10,12.7,27.6,128.3,70.7,,
95,철원,2021-11,5.3,20.1,57.3,25,,
95,철원,2021-12,-2.1,11.1,4.9,1.6,,
98,동두천,2020-01,0,12.4,71.4,49.1,,
