기온분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 전국
기간 : 2020~2021 01~12

년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01,전국,2.5,-1.5,7.4
2020-02,전국,3.4,-1.6,8.9
2020-03,전국,7.7,1.6,14
2020-04,전국,10.6,4.3,17.1
2020-05,전국,17.6,12.6,23.1
2020-06,전국,22.7,18.2,28
2020-07,전국,22.5,19.6,26.2
2020-08,전국,26.4,23.5,30.5
2020-09,전국,20.1,16.3,24.9
2020-10,전국,13.7,8.3,20
2020-11,전국,8.5,3.4,14.2
2020-12,전국,0.4,-4.4,5.9
2021-01,전국,-1.1,-6.3,4.5
2021-02,전국,3.4,-2.2,9.4
2021-03,전국,8.7,3.1,14.8
2021-04,전국,13.2,7.3,19.3
2021-05,전국,16.6,11.4,22.2
2021-06,전국,21.7,17.5,26.7
2021-07,전국,26,22.2,30.8
2021-08,전국,24.8,21.5,29.2
2021-09,전국,21.3,17.7,25.8
2021-10,전국,15.1,10.4,21.2
2021-11,전국,8.3,3.3,14.5
2021-12,전국,1.9,-3.1,7.4

