AGGR_YM,VDS_ID,ROAD_KIND_TP_SE_CD,VMTC,SHARE,AVRG_VE,NORMAL_CNT,REVISION_CNT,LAST_CHANGE_TIME
202105,0010VDE00100,1,1175789,1.93,83.98,81465,7815,20210601083039
202105,0010VDE00200,1,1159942,1.91,96.23,81452,7826,20210601083039
202105,0010VDE00300,1,1133575,1.89,89.71,81480,7800,20210601083039
202105,0010VDE00400,1,-1,-1.00,-1.00,0,0,20210601083039
202105,0010VDE00500,1,915167,1.37,93.87,81406,7874,20210601083039
202105,0010VDE00600,1,-1,-1.00,-1.00,0,0,20210601083039
202105,0010VDE00700,1,1112787,1.82,96.59,81446,7824,20210601083039
202105,0010VDE00800,1,1090905,3.76,99.60,81953,7327,20210601083039
202105,0010VDE00900,1,1135404,1.85,100.71,81639,7641,20210601083039
202105,0010VDE01000,1,1129105,2.24,100.86,81609,7671,20210601083039
202105,0010VDE01100,1,1102964,1.88,89.10,81630,7649,20210601083039
202105,0010VDE01200,1,949266,1.58,90.04,78443,10087,20210601083039
202105,0010VDE01300,1,567234,1.22,91.56,81391,7889,20210601083039
202105,0010VDE01500,1,1484615,2.15,95.34,81506,7774,20210601083039
202105,0010VDE01600,1,-1,-1.00,-1.00,0,0,20210601083039
202105,0010VDE01700,1,-1,-1.00,-1.00,0,0,20210601083039
202105,0010VDE01800,1,1461852,1.85,91.89,81359,7891,20210601083039
202105,0010VDE01900,1,-1,-1.00,-1.00,0,0,20210601083039
202105,0010VDE02000,1,-1,-1.00,-1.00,0,0,20210601083039
202105,0010VDE02100,1,-1,-1.00,-1.00,0,0,20210601083039
202105,0010VDE02200,1,1200616,1.98,94.60,81452,7827,20210601083039
202105,0010VDE02300,1,1199464,1.99,90.03,81619,7661,20210601083039
202105,0010VDE02400,1,1205073,1.99,102.79,81561,7719,20210601083039
202105,0010VDE02500,1,1367243,2.22,101.37,81396,7670,20210601083039
202105,0010VDE02600,1,350740,2.00,98.63,20645,8168,20210601083039
202105,0010VDE02700,1,1200226,1.98,99.10,81436,7844,20210601083039
202105,0010VDE02800,1,-1,-1.00,-1.00,0,0,20210601083039
202105,0010VDE02850,1,1263783,1.97,99.17,79120,9295,20210601083039
202105,0010VDE02900,1,1199955,1.98,101.52,81207,7955,20210601083039
202105,0010VDE03000,1,1199226,1.97,98.97,81599,7681,20210601083039
202105,0010VDE03100,1,1208231,2.82,99.98,81599,7681,20210601083039
202105,0010VDE03200,1,1189665,1.96,91.02,81445,7835,20210601083039
202105,0010VDE03300,1,-1,-1.00,-1.00,0,0,20210601083039
202105,0010VDE03400,1,-1,-1.00,-1.00,0,0,20210601083039
202105,0010VDE03500,1,952113,1.63,101.97,81298,7982,20210601083039
202105,0010VDE03600,1,727506,1.84,110.69,81535,7745,20210601083039
202105,0010VDE03700,1,1003704,1.69,102.67,81602,7678,20210601083039
202105,0010VDE03800,1,998583,2.54,90.30,81303,7977,20210601083039
202105,0010VDE04000,1,-1,-1.00,-1.00,0,0,20210601083039
202105,0010VDE04100,1,-1,-1.00,-1.00,0,0,20210601083039
202105,0010VDE04105,1,742966,3.25,100.27,81394,7886,20210601083039
202105,0010VDE04110,1,744074,3.14,104.53,81635,7645,20210601083039
202105,0010VDE04115,1,742882,3.19,101.10,81650,7629,20210601083039
202105,0010VDE04120,1,615326,2.70,103.04,81644,7636,20210601083039
202105,0010VDE04125,1,716931,3.20,93.38,81636,7403,20210601083039
202105,0010VDE04130,1,741287,3.39,92.71,81645,7635,20210601083039
202105,0010VDE04135,1,741312,3.22,95.02,81647,7632,20210601083039
202105,0010VDE04140,1,742889,3.29,95.68,81648,7632,20210601083039
202105,0010VDE04145,1,741945,3.34,91.98,81645,7635,20210601083039
202105,0010VDE04150,1,741773,3.41,92.99,81649,7631,20210601083039
202105,0010VDE04155,1,742737,3.35,94.77,81651,7629,20210601083039
202105,0010VDE04160,1,741989,3.43,92.59,81645,7635,20210601083039
202105,0010VDE04165,1,740520,3.83,91.19,81998,7282,20210601083039
202105,0010VDE04170,1,741612,3.27,95.50,81658,7622,20210601083039
202105,0010VDE04175,1,763247,3.12,99.97,81544,7631,20210601083039
202105,0010VDE04180,1,747791,3.36,91.40,81159,8014,20210601083039
202105,0010VDE04185,1,692791,3.00,101.19,81410,7869,20210601083039
202105,0010VDE04190,1,704785,2.84,106.92,81639,7641,20210601083039
202105,0010VDE04195,1,705691,2.77,110.14,81650,7630,20210601083039
202105,0010VDE04200,1,705073,2.75,109.96,81651,7629,20210601083039
202105,0010VDE04205,1,704439,2.92,103.55,81654,7625,20210601083039
202105,0010VDE04210,1,704130,2.84,110.92,81637,7639,20210601083039
202105,0010VDE04215,1,705393,2.84,109.67,81649,7631,20210601083039
202105,0010VDE04220,1,706410,2.88,107.74,81640,7640,20210601083039
202105,0010VDE04225,1,706087,2.99,105.05,81622,7658,20210601083039
202105,0010VDE04230,1,706654,3.13,99.17,81396,7884,20210601083039
202105,0010VDE04235,1,-1,-1.00,-1.00,0,0,20210601083039
202105,0010VDE04240,1,776665,3.36,98.54,89066,214,20210601083039
202105,0010VDE04245,1,779215,3.31,102.49,89247,33,20210601083039
202105,0010VDE04250,1,778757,3.24,102.54,89240,40,20210601083039
202105,0010VDE04255,1,863497,3.28,101.20,89180,96,20210601083039
202105,0010VDE04260,1,777340,3.36,99.12,89261,19,20210601083039
202105,0010VDE04265,1,778024,3.43,97.66,89262,18,20210601083039
202105,0010VDE04270,1,679492,3.06,100.91,89268,12,20210601083039
202105,0010VDE04275,1,777452,3.38,99.56,89264,16,20210601083039
202105,0010VDE04280,1,777541,3.38,103.19,89014,266,20210601083039
202105,0010VDE04285,1,813982,3.57,103.69,88931,349,20210601083039
202105,0010VDE04290,1,812367,3.49,103.16,89258,22,20210601083039
202105,0010VDE04295,1,812640,3.56,94.31,89265,15,20210601083039
202105,0010VDE04300,1,814714,3.49,96.93,89268,12,20210601083039
202105,0010VDE04305,1,813946,3.30,105.83,89267,13,20210601083039
202105,0010VDE04310,1,814126,3.35,105.04,89267,13,20210601083039
202105,0010VDE04315,1,814110,3.46,101.92,89268,12,20210601083039
202105,0010VDE04320,1,813256,3.30,104.66,89267,13,20210601083039
202105,0010VDE04325,1,815113,3.36,103.55,89267,13,20210601083039
