AGGR_YM,VDS_ID,ROAD_KIND_TP_SE_CD,VMTC,SHARE,AVRG_VE,NORMAL_CNT,REVISION_CNT,LAST_CHANGE_TIME
202102,0010VDE00100,1,1026214,1.90,84.53,79470,587,20210301083043
202102,0010VDE00200,1,1010203,1.88,96.15,79460,596,20210301083043
202102,0010VDE00300,1,986529,1.86,89.36,79484,574,20210301083043
202102,0010VDE00400,1,-1,-1.00,-1.00,0,0,20210301083043
202102,0010VDE00500,1,792870,1.36,94.37,79450,606,20210301083043
202102,0010VDE00600,1,-1,-1.00,-1.00,0,0,20210301083043
202102,0010VDE00700,1,966613,1.79,96.36,79463,595,20210301083043
202102,0010VDE00800,1,964276,3.73,97.68,79750,308,20210301083043
202102,0010VDE00900,1,989194,1.83,100.49,79647,411,20210301083043
202102,0010VDE01000,1,987333,1.97,100.35,79624,433,20210301083043
202102,0010VDE01100,1,951305,1.84,89.58,79625,432,20210301083043
202102,0010VDE01200,1,821632,1.56,90.16,76414,2753,20210301083043
202102,0010VDE01300,1,495246,1.22,91.13,79352,705,20210301083043
202102,0010VDE01500,1,1283230,2.12,94.94,79476,579,20210301083043
202102,0010VDE01600,1,-1,-1.00,-1.00,0,0,20210301083043
202102,0010VDE01700,1,-1,-1.00,-1.00,0,0,20210301083043
202102,0010VDE01800,1,1263643,1.82,91.69,79367,687,20210301083043
202102,0010VDE01900,1,930883,1.82,98.91,54898,12023,20210301083043
202102,0010VDE02000,1,-1,-1.00,-1.00,0,0,20210301083043
202102,0010VDE02100,1,-1,-1.00,-1.00,0,0,20210301083043
202102,0010VDE02200,1,1037621,1.94,94.33,79427,629,20210301083043
202102,0010VDE02300,1,1032952,1.94,89.50,79611,444,20210301083043
202102,0010VDE02400,1,1041846,1.95,102.62,79599,457,20210301083043
202102,0010VDE02500,1,1042678,1.95,99.40,79631,425,20210301083043
202102,0010VDE02600,1,1105168,1.94,99.51,77341,1993,20210301083043
202102,0010VDE02700,1,1037385,1.94,99.36,79431,626,20210301083043
202102,0010VDE02800,1,-1,-1.00,-1.00,0,0,20210301083043
202102,0010VDE02850,1,1103297,1.94,99.60,77259,2059,20210301083043
202102,0010VDE02900,1,1038956,1.94,101.63,79281,776,20210301083043
202102,0010VDE03000,1,1037099,1.94,99.40,79588,469,20210301083043
202102,0010VDE03100,1,1043597,2.72,100.17,79592,465,20210301083043
202102,0010VDE03200,1,1029798,1.93,92.54,79426,631,20210301083043
202102,0010VDE03300,1,-1,-1.00,-1.00,0,0,20210301083043
202102,0010VDE03400,1,-1,-1.00,-1.00,0,0,20210301083043
202102,0010VDE03500,1,832875,1.62,100.68,79313,743,20210301083043
202102,0010VDE03600,1,906384,1.81,107.14,79091,725,20210301083043
202102,0010VDE03700,1,874456,1.68,101.84,79437,619,20210301083043
202102,0010VDE03800,1,786832,2.68,90.41,66444,11743,20210301083043
202102,0010VDE04000,1,-1,-1.00,-1.00,0,0,20210301083043
202102,0010VDE04100,1,-1,-1.00,-1.00,0,0,20210301083043
202102,0010VDE04105,1,663702,3.29,99.26,79362,690,20210301083043
202102,0010VDE04110,1,663166,3.17,103.51,79635,421,20210301083043
202102,0010VDE04115,1,662671,3.21,100.69,79650,407,20210301083043
202102,0010VDE04120,1,552070,2.73,102.22,79649,408,20210301083043
202102,0010VDE04125,1,718229,3.61,92.29,79645,299,20210301083043
202102,0010VDE04130,1,661760,3.41,92.35,79645,412,20210301083043
202102,0010VDE04135,1,661760,3.25,94.72,79648,409,20210301083043
202102,0010VDE04140,1,662209,3.31,95.18,79645,412,20210301083043
202102,0010VDE04145,1,662216,3.36,91.58,79643,414,20210301083043
202102,0010VDE04150,1,661748,3.43,92.78,79643,414,20210301083043
202102,0010VDE04155,1,661879,3.37,94.28,79642,415,20210301083043
202102,0010VDE04160,1,662091,3.45,92.60,79645,412,20210301083043
202102,0010VDE04165,1,660680,3.86,90.59,79655,403,20210301083043
202102,0010VDE04170,1,661395,3.30,95.17,79640,417,20210301083043
202102,0010VDE04175,1,670708,3.14,99.63,79622,430,20210301083043
202102,0010VDE04180,1,661350,3.40,90.66,79401,654,20210301083043
202102,0010VDE04185,1,614380,2.97,102.90,76594,2797,20210301083043
202102,0010VDE04190,1,632018,2.87,106.29,79645,411,20210301083043
202102,0010VDE04195,1,632667,2.82,108.78,79664,392,20210301083043
202102,0010VDE04200,1,632202,2.80,108.54,79638,418,20210301083043
202102,0010VDE04205,1,631373,2.96,102.63,79640,416,20210301083043
202102,0010VDE04210,1,633207,2.88,109.85,79639,418,20210301083043
202102,0010VDE04215,1,632591,2.87,108.70,79637,419,20210301083043
202102,0010VDE04220,1,632796,2.91,107.06,79633,423,20210301083043
202102,0010VDE04225,1,633063,3.02,104.58,79625,430,20210301083043
202102,0010VDE04230,1,633755,3.14,99.03,79417,637,20210301083043
202102,0010VDE04235,1,-1,-1.00,-1.00,0,0,20210301083043
202102,0010VDE04240,1,694592,3.38,97.99,79683,373,20210301083043
202102,0010VDE04245,1,695102,3.32,101.80,79897,159,20210301083043
202102,0010VDE04250,1,695277,3.24,102.24,79889,167,20210301083043
202102,0010VDE04255,1,770302,3.28,101.03,79859,151,20210301083043
202102,0010VDE04260,1,695118,3.36,99.18,79892,165,20210301083043
202102,0010VDE04265,1,695560,3.45,96.92,79886,170,20210301083043
202102,0010VDE04270,1,609612,3.07,100.12,79894,163,20210301083043
202102,0010VDE04275,1,694526,3.36,99.21,79890,166,20210301083043
202102,0010VDE04280,1,694680,3.33,102.81,79631,426,20210301083043
202102,0010VDE04285,1,727323,3.39,103.22,79661,395,20210301083043
202102,0010VDE04290,1,726177,3.39,103.10,79885,171,20210301083043
202102,0010VDE04295,1,725747,3.56,93.87,79895,161,20210301083043
202102,0010VDE04300,1,732384,3.50,96.45,79895,161,20210301083043
202102,0010VDE04305,1,726741,3.30,104.34,79896,161,20210301083043
202102,0010VDE04310,1,727021,3.35,103.54,79894,157,20210301083043
202102,0010VDE04315,1,727058,3.46,100.97,79892,164,20210301083043
202102,0010VDE04320,1,726204,3.30,103.49,79892,164,20210301083043
202102,0010VDE04325,1,727243,3.39,101.71,79894,164,20210301083043
202102,0010VDE04330,1,727314,3.42,105.68,79881,175,20210301083043
202102,0010VDE04335,1,728575,3.13,90.79,79642,415,20210301083043
202102,0010VDE04340,1,392544,2.08,105.75,79524,532,20210301083043
202102,0010VDE04345,1,392140,2.06,107.88,79879,177,20210301083043
202102,0010VDE04350,1,392665,2.12,104.29,79895,161,20210301083043
202102,0010VDE04355,1,392943,2.09,105.71,79559,497,20210301083043
202102,0010VDE04400,1,515916,2.75,93.36,79596,460,20210301083043
202102,0010VDE04500,1,541012,2.75,100.08,79876,180,20210301083043
202102,0010VDE04600,1,541920,2.70,104.27,79879,177,20210301083043
202102,0010VDE04700,1,615665,2.69,103.34,79848,162,20210301083043
202102,0010VDE04800,1,541356,2.72,101.76,79631,425,20210301083043
202102,0010VDE04900,1,542035,2.81,97.30,79620,436,20210301083043
202102,0010VDE05000,1,614645,2.74,101.67,79812,185,20210301083043
202102,0010VDE05100,1,540881,2.69,105.60,79887,169,20210301083043
202102,0010VDE05200,1,541787,2.75,103.39,79871,185,20210301083043
202102,0010VDE05300,1,541678,2.71,103.43,79890,166,20210301083043
202102,0010VDE05400,1,540384,2.83,95.15,79888,168,20210301083043
202102,0010VDE05500,1,541876,4.71,100.08,79886,170,20210301083043
202102,0010VDE05600,1,541200,2.78,100.24,79897,159,20210301083043
202102,0010VDE05700,1,541466,2.67,105.75,79847,209,20210301083043
202102,0010VDE05800,1,541114,2.79,101.39,79883,173,20210301083043
202102,0010VDE05900,1,612051,2.77,101.60,77624,1831,20210301083043
202102,0010VDE06000,1,541923,2.80,100.86,79518,536,20210301083043
202102,0010VDE06100,1,915585,3.44,88.81,79666,390,20210301083043
202102,0010VDE06200,1,911845,3.36,92.86,79887,169,20210301083043
202102,0010VDE06300,1,911169,3.46,89.91,79890,166,20210301083043
202102,0010VDE06400,1,909984,3.40,92.54,79879,177,20210301083043
202102,0010VDE06500,1,1007252,3.46,92.09,79841,163,20210301083043
202102,0010VDE06600,1,910955,3.57,91.41,79883,174,20210301083043
202102,0010VDE06700,1,911795,3.39,92.61,79888,168,20210301083043
202102,0010VDE06800,1,911977,3.40,91.66,79875,181,20210301083043
202102,0010VDE06900,1,681344,2.68,99.16,79639,417,20210301083043
202102,0010VDE07000,1,680925,2.62,99.70,79674,381,20210301083043
