"SUM_YRMTH","VDS_CD","COCT_CD","TRFFCVLM","OCCPNCY","SPD_AVG","NMLT_CSCNT","REVISN_CSCNT","LAST_CHANGE_DAYHMINSEC"
"202112","0010VDE00100","1","1127113","1.87","83.67","87828","1452","20220101083040"
"202112","0010VDE00200","1","1122969","1.87","95.13","87784","1496","20220101083040"
"202112","0010VDE00300","1","1098432","1.85","88.99","87839","1441","20220101083040"
"202112","0010VDE00400","1","125061","1.46","84.04","10073","31","20220101083040"
"202112","0010VDE00500","1","850988","1.35","95.27","86193","1856","20220101083040"
"202112","0010VDE00600","1","-1","-1.00","-1.00","0","0","20220101083040"
"202112","0010VDE00700","1","1090423","1.80","96.30","84958","2974","20220101083040"
"202112","0010VDE00800","1","1090729","3.78","96.46","87098","2139","20220101083040"
"202112","0010VDE00900","1","1157652","2.71","98.19","83065","6171","20220101083040"
"202112","0010VDE01000","1","1094433","1.89","99.20","87695","1585","20220101083040"
"202112","0010VDE01100","1","107791","1.54","95.13","10081","15","20220101083040"
"202112","0010VDE01200","1","61195","1.19","89.60","10064","40","20220101083040"
"202112","0010VDE01300","1","539861","1.21","90.89","87707","1573","20220101083040"
"202112","0010VDE01500","1","1458367","2.16","94.48","87851","1429","20220101083040"
"202112","0010VDE01600","1","171599","2.86","96.55","10046","58","20220101083040"
"202112","0010VDE01700","1","175388","2.35","93.71","9579","157","20220101083040"
"202112","0010VDE01800","1","1429252","1.84","90.76","87789","1491","20220101083040"
"202112","0010VDE01900","1","-1","-1.00","-1.00","0","0","20220101083040"
"202112","0010VDE02000","1","-1","-1.00","-1.00","0","0","20220101083040"
"202112","0010VDE02100","1","-1","-1.00","-1.00","0","0","20220101083040"
"202112","0010VDE02200","1","1173473","1.95","93.10","87818","1462","20220101083040"
"202112","0010VDE02300","1","1171037","1.95","89.07","87924","1356","20220101083040"
"202112","0010VDE02400","1","1179510","1.96","101.79","87918","1362","20220101083040"
"202112","0010VDE02500","1","1395383","2.29","100.66","87060","1992","20220101083040"
"202112","0010VDE02600","1","32877","1.94","97.11","3897","3026","20220101083040"
"202112","0010VDE02700","1","1172695","1.95","98.27","87767","1513","20220101083040"
"202112","0010VDE02800","1","-1","-1.00","-1.00","0","0","20220101083040"
"202112","0010VDE02850","1","1248501","1.96","98.16","85001","3756","20220101083040"
"202112","0010VDE02900","1","1174819","1.96","100.02","87584","1684","20220101083040"
"202112","0010VDE03000","1","1174726","1.97","97.43","87841","1436","20220101083040"
"202112","0010VDE03100","1","1180100","3.02","98.26","87984","1296","20220101083040"
"202112","0010VDE03200","1","1166003","1.95","90.54","87707","1500","20220101083040"
"202112","0010VDE03300","1","-1","-1.00","-1.00","0","0","20220101083040"
"202112","0010VDE03400","1","125138","1.84","96.13","10051","53","20220101083040"
"202112","0010VDE03500","1","907679","1.58","99.39","87707","1573","20220101083040"
"202112","0010VDE03600","1","898746","1.57","103.00","87967","1313","20220101083040"
"202112","0010VDE03700","1","968094","1.68","100.18","87989","1291","20220101083040"
"202112","0010VDE03800","1","959690","2.49","89.08","87693","1587","20220101083040"
"202112","0010VDE04000","1","-1","-1.00","-1.00","0","0","20220101083040"
"202112","0010VDE04100","1","-1","-1.00","-1.00","0","0","20220101083040"
"202112","0010VDE04105","1","726268","3.34","97.90","86894","2386","20220101083040"
"202112","0010VDE04110","1","726176","3.23","101.35","87143","2137","20220101083040"
"202112","0010VDE04115","1","726089","3.29","98.70","87161","2119","20220101083040"
"202112","0010VDE04120","1","603387","2.76","100.80","87163","2117","20220101083040"
"202112","0010VDE04125","1","705559","3.28","92.62","87162","2114","20220101083040"
"202112","0010VDE04130","1","724381","3.45","91.81","87157","2123","20220101083040"
"202112","0010VDE04135","1","724292","3.28","94.09","87165","2115","20220101083040"
"202112","0010VDE04140","1","725046","3.35","94.43","87161","2119","20220101083040"
"202112","0010VDE04145","1","725147","3.40","90.86","87160","2120","20220101083040"
"202112","0010VDE04150","1","724502","3.45","92.33","87160","2120","20220101083040"
"202112","0010VDE04155","1","725131","3.40","93.75","87161","2119","20220101083040"
"202112","0010VDE04160","1","724963","3.49","92.14","87161","2119","20220101083040"
"202112","0010VDE04165","1","724252","3.93","90.10","87277","2003","20220101083040"
"202112","0010VDE04170","1","725628","3.33","95.06","87163","2117","20220101083040"
"202112","0010VDE04175","1","727353","3.16","99.11","87147","2133","20220101083040"
"202112","0010VDE04180","1","724068","3.41","90.68","86892","2388","20220101083040"
"202112","0010VDE04185","1","674077","3.06","99.38","86890","2389","20220101083040"
