AGGR_YM,VDS_ID,ROAD_KIND_TP_SE_CD,VMTC,SHARE,AVRG_VE,NORMAL_CNT,REVISION_CNT,LAST_CHANGE_TIME
202110,0010VDE00100,1,1187299,1.95,83.15,88970,232,20211101083050
202110,0010VDE00200,1,1180956,1.95,94.83,88910,244,20211101083050
202110,0010VDE00300,1,1155583,1.94,88.57,89089,191,20211101083050
202110,0010VDE00400,1,-1,-1.00,-1.00,0,0,20211101083050
202110,0010VDE00500,1,886976,1.40,94.49,89006,262,20211101083050
202110,0010VDE00600,1,-1,-1.00,-1.00,0,0,20211101083050
202110,0010VDE00700,1,1142985,1.87,95.53,89080,200,20211101083050
202110,0010VDE00800,1,1155545,3.91,99.17,85574,3684,20211101083050
202110,0010VDE00900,1,1212221,3.05,99.40,80799,8454,20211101083050
202110,0010VDE01000,1,1157114,2.28,99.46,88807,473,20211101083050
202110,0010VDE01100,1,-1,-1.00,-1.00,0,0,20211101083050
202110,0010VDE01200,1,-1,-1.00,-1.00,0,0,20211101083050
202110,0010VDE01300,1,587445,1.25,91.52,88983,297,20211101083050
202110,0010VDE01500,1,1571314,2.33,94.07,88974,306,20211101083050
202110,0010VDE01600,1,-1,-1.00,-1.00,0,0,20211101083050
202110,0010VDE01700,1,-1,-1.00,-1.00,0,0,20211101083050
202110,0010VDE01800,1,1546752,1.95,89.47,88722,531,20211101083050
202110,0010VDE01900,1,-1,-1.00,-1.00,0,0,20211101083050
202110,0010VDE02000,1,-1,-1.00,-1.00,0,0,20211101083050
202110,0010VDE02100,1,-1,-1.00,-1.00,0,0,20211101083050
202110,0010VDE02200,1,1282346,2.11,92.71,89015,265,20211101083050
202110,0010VDE02300,1,1280528,2.12,88.47,89205,75,20211101083050
202110,0010VDE02400,1,1287856,2.12,101.09,89131,149,20211101083050
202110,0010VDE02500,1,1531008,2.47,100.33,88819,461,20211101083050
202110,0010VDE02600,1,-1,-1.00,-1.00,0,0,20211101083050
202110,0010VDE02700,1,1281713,2.11,97.75,88991,283,20211101083050
