"SUM_YRMTH","VDS_CD","COCT_CD","TRFFCVLM","OCCPNCY","SPD_AVG","NMLT_CSCNT","REVISN_CSCNT","LAST_CHANGE_DAYHMINSEC"
"202202","0010VDE00100","1","974922","1.81","84.00","75151","5488","20220301083036"
"202202","0010VDE00200","1","971765","1.82","95.55","75130","5510","20220301083036"
"202202","0010VDE00300","1","948473","1.80","89.18","75135","5505","20220301083036"
"202202","0010VDE00400","1","949521","1.45","85.06","75122","5518","20220301083036"
"202202","0010VDE00500","1","731113","1.34","95.34","75063","5576","20220301083036"
"202202","0010VDE00600","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE00700","1","936171","1.73","96.42","74529","5913","20220301083036"
"202202","0010VDE00800","1","946383","3.61","96.71","76117","4523","20220301083036"
"202202","0010VDE00900","1","954051","1.76","99.53","75300","5340","20220301083036"
"202202","0010VDE01000","1","951681","1.82","100.03","75317","5323","20220301083036"
"202202","0010VDE01100","1","807786","1.53","96.33","75144","4507","20220301083036"
"202202","0010VDE01200","1","486772","1.22","90.40","75070","5566","20220301083036"
"202202","0010VDE01300","1","486093","1.21","91.57","75029","5609","20220301083036"
"202202","0010VDE01500","1","1270839","2.13","94.55","75099","5503","20220301083036"
"202202","0010VDE01600","1","1272428","2.71","97.68","75039","5599","20220301083036"
"202202","0010VDE01700","1","1314592","2.24","94.79","71463","7499","20220301083036"
"202202","0010VDE01800","1","1248241","1.79","91.24","75095","5545","20220301083036"
"202202","0010VDE01900","1","1027096","1.90","96.40","75065","5575","20220301083036"
"202202","0010VDE02000","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE02100","1","1030277","1.90","93.02","70201","8144","20220301083036"
"202202","0010VDE02200","1","1027435","1.91","93.21","75122","5518","20220301083036"
"202202","0010VDE02300","1","1019771","1.90","89.04","75310","5330","20220301083036"
"202202","0010VDE02400","1","1033358","1.92","102.03","75317","5323","20220301083036"
"202202","0010VDE02500","1","1204468","2.26","101.50","75320","4358","20220301083036"
"202202","0010VDE02600","1","1008979","2.76","99.02","75310","5325","20220301083036"
"202202","0010VDE02700","1","1027875","1.91","98.90","75278","5362","20220301083036"
"202202","0010VDE02800","1","1025729","1.89","89.88","75081","5470","20220301083036"
"202202","0010VDE02850","1","1093470","1.93","97.74","74653","4940","20220301083036"
"202202","0010VDE02900","1","1029186","1.91","101.11","75247","5393","20220301083036"
"202202","0010VDE03000","1","1027368","1.91","98.68","75276","5364","20220301083036"
"202202","0010VDE03100","1","1033767","2.70","99.79","75296","5344","20220301083036"
"202202","0010VDE03200","1","1023056","1.90","91.69","75118","5522","20220301083036"
"202202","0010VDE03300","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE03400","1","930719","1.75","97.48","75003","5637","20220301083036"
"202202","0010VDE03500","1","796377","1.56","100.07","75254","5386","20220301083036"
"202202","0010VDE03600","1","788461","1.54","103.54","75312","5328","20220301083036"
"202202","0010VDE03700","1","845825","1.62","100.83","75295","5344","20220301083036"
"202202","0010VDE03800","1","838259","2.44","90.36","75009","5631","20220301083036"
"202202","0010VDE04000","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE04100","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE04105","1","659489","3.30","98.40","75126","5514","20220301083036"
"202202","0010VDE04110","1","659587","3.20","101.93","75353","5287","20220301083036"
"202202","0010VDE04115","1","659130","3.24","99.41","75864","4776","20220301083036"
"202202","0010VDE04120","1","550307","2.74","101.24","75608","5032","20220301083036"
"202202","0010VDE04125","1","655630","3.32","92.65","75511","4738","20220301083036"
"202202","0010VDE04130","1","657746","3.42","92.02","75519","5121","20220301083036"
"202202","0010VDE04135","1","657504","3.26","94.33","75354","5286","20220301083036"
"202202","0010VDE04140","1","657740","3.32","94.67","75447","5193","20220301083036"
"202202","0010VDE04145","1","658087","3.37","91.23","75443","5197","20220301083036"
"202202","0010VDE04150","1","657764","3.42","92.57","75653","4987","20220301083036"
"202202","0010VDE04155","1","658725","3.37","94.06","75422","5218","20220301083036"
"202202","0010VDE04160","1","658579","3.45","92.47","75605","5035","20220301083036"
"202202","0010VDE04165","1","657342","3.85","90.43","76336","4304","20220301083036"
"202202","0010VDE04170","1","657717","3.29","95.13","75787","4853","20220301083036"
"202202","0010VDE04175","1","680742","3.12","99.26","75479","5077","20220301083036"
"202202","0010VDE04180","1","657085","3.38","90.92","75141","5499","20220301083036"
"202202","0010VDE04185","1","614629","3.03","99.92","75085","5555","20220301083036"
"202202","0010VDE04190","1","625731","2.89","105.22","75344","5296","20220301083036"
"202202","0010VDE04195","1","626392","2.82","107.87","75419","5221","20220301083036"
"202202","0010VDE04200","1","625239","2.81","107.04","75399","5241","20220301083036"
"202202","0010VDE04205","1","624789","3.02","98.87","75444","5196","20220301083036"
"202202","0010VDE04210","1","626316","3.05","100.43","75567","5073","20220301083036"
"202202","0010VDE04215","1","626113","2.91","106.18","75681","4959","20220301083036"
"202202","0010VDE04220","1","626633","2.97","105.46","75544","5096","20220301083036"
