±â°£,»ç°í°Ç¼ö,»ç¸ÁÀÚ¼ö,»ç¸Á·ü
2001,"57,428","5,147",8.96252699
2002,"42,606","4,864",11.41623246
2003,"33,033","4,650",14.07683226
2004,"30,665","4,603",15.0105984
2005,"29,444","4,710",15.99646787
2006,"29,030","4,908",16.90664829
2007,"30,551","5,398",17.66881608
2008,"30,379","5,379",17.70631028
2009,"16,011","4,869",30.41034289
2010,"14,581","5,032",34.51066456
2011,"11,473","4,406",38.40320753
2012,"12,888","4,539",35.21880819
2013,"21,636","3,849",17.78979479
2014,"17,909","3,774",21.07320342
2015,"16,994","3,490",20.53666
2016,"12,553","3,371",26.85413845
2017,"11,873","2,919",24.5851933
2018,,,#DIV/0!
2019,,"14,673",#DIV/0!
