±â°£,»ç°í°Ç¼ö,»ç¸ÁÀÚ¼ö,»ç¸Á·ü
2001,"15,796",583,3.690807799
2002,"16,947",560,3.304419661
2003,"18,365",529,2.880479172
2004,"18,029",480,2.662377281
2005,"18,094",440,2.43174533
2006,"18,213",445,2.443309724
2007,"18,548",471,2.539357343
2008,"18,462",397,2.150362908
2009,"17,858",358,2.004703774
2010,"16,500",266,1.612121212
2011,"16,119",319,1.979030957
2012,"16,458",285,1.731680642
2013,"14,815",260,1.754978063
2014,"12,926",270,2.088813245
2015,"14,672",259,1.765267176
2016,"14,051",270,1.921571418
2017,"14,849",252,1.697083979
2018,"14,233",324,2.276399916
2019,"13,684",221,1.615024847
